source_id,url,host,old_base_tier,old_status,ruled_tier,ruled_class,source_role_at_birth,action
664d588e-186c-4468-9d82-dcaff4f1c791,https://www.japaneselawtranslation.go.jp/en/laws/view/3703/en,japaneselawtranslation.go.jp,1,provisional,2,gov,primary_legal_authority,UPDATE
320bc032-abcd-4033-b727-4c6ce808800f,https://www.international-climate-initiative.com/en/project/preparation-of-an-emissions-trading-system-ets-in-mexico-17-i-271-mex-g-ets/,international-climate-initiative.com,3,provisional,6,analysis,vendor_corporate,UPDATE
b45dc9ad-eb7c-49d6-be19-623e4e02756f,https://www.infineuminsight.com/en-gb/articles/cii-ratings-announced/,infineuminsight.com,6,provisional,7,corporate,vendor_corporate,UPDATE
e364a24b-adc2-4521-86fd-aadba2fca62c,https://pollution-waste.canada.ca,pollution-waste.canada.ca,2,provisional,2,gov,,UPDATE
d164a2d8-4909-48c5-ad45-7918997a1a18,https://catalog.data.gov,catalog.data.gov,2,provisional,2,gov,primary_legal_authority,UPDATE
9bf0b282-e359-4b91-8a0b-830146895edb,https://www.dromon.com/2025/07/30/imo-cii-guidelines-seemp-part-iii-revision/,dromon.com,3,active,7,corporate,vendor_corporate,UPDATE
5e225525-f6fd-4c16-b1e5-0580ef3c1bce,https://ieta.org,ieta.org,4,provisional,4,association,,UPDATE
80a43164-f14d-411b-981e-766a92d8c9ff,https://www.senken.io/academy/csrd-reporting-requirements,senken.io,6,provisional,7,vendor,vendor_corporate,UPDATE
494a64bc-14ae-49ae-aea8-8bfc1f498aa7,https://onewaybit.com/guides/new-york-navigating-commercial-vehicle-inspections-and-dot-compliance-guide/,onewaybit.com,5,provisional,7,vendor,vendor_corporate,UPDATE
3d7f5961-dd1b-41e9-92dd-941552d950bf,https://www.inderscience.com/info/inarticle.php?artid=132353,inderscience.com,3,provisional,6,analysis,vendor_corporate,UPDATE
731afcb1-f97f-46af-8fca-832fcbad309e,https://www.igsd.org/chinas-new-ecological-and-environmental-code-a-legislative-framework-for-curbing-super-climate-pollutants,igsd.org,3,provisional,6,analysis,,UPDATE
4db5ccb0-f7cb-4d95-afe0-7b90605e7115,https://www.allbrightlaw.com/en/10531/177523769611f595.aspx,allbrightlaw.com,4,provisional,7,lawfirm,vendor_corporate,UPDATE
04ee3d6d-c1d0-46f3-89df-1ce0d8beb1c8,https://www.trenchrossi.com/en/legal-alerts/new-mma-ordinances-reinforce-rules-and-expand-the-scope-of-reverse-logistics-in-brazil/,trenchrossi.com,4,provisional,7,lawfirm,vendor_corporate,UPDATE
7a9bc9f5-4b80-469d-92f5-23813e638339,https://en.reach24h.com/news/insights/chemical/china-ecological-environment-code,en.reach24h.com,5,provisional,7,vendor,vendor_corporate,UPDATE
4193736c-1def-4d24-8948-f54b6d0d8919,https://ato.gov.au,ato.gov.au,2,active,2,gov,primary_legal_authority,UPDATE
6f91e110-1cc1-4878-b0dd-7e288bab88ab,https://whc.unesco.org,whc.unesco.org,3,active,2,intergov,intergovernmental_body,UPDATE
5bfa8900-6f13-42e9-bfd5-ace98cd1f68f,https://now-gmbh.de,now-gmbh.de,3,active,6,analysis,vendor_corporate,UPDATE
943003dc-d5e6-404a-93b6-20446ae94d3c,https://international-climate-initiative.com,international-climate-initiative.com,3,active,6,analysis,vendor_corporate,UPDATE
23fa4019-445b-424f-b904-60c8dfd290dc,https://goldstandard.org,goldstandard.org,4,active,4,association,,UPDATE
afd2b2b9-baec-4e0a-8b93-d0ba67394b3f,https://www.ato.gov.au/businesses-and-organisations/hiring-and-paying-your-workers/fringe-benefits-tax/types-of-fringe-benefits/fbt-on-cars-other-vehicles-parking-and-tolls/electric-cars-exemption,ato.gov.au,2,active,2,gov,primary_legal_authority,UPDATE
610ae3d4-0b59-45f9-87fa-343caced9e07,https://pollution-waste.canada.ca/environmental-protection-registry/regulations/view?Id=1170,pollution-waste.canada.ca,2,active,2,gov,,UPDATE
72f2f70a-57b8-4b73-9099-2ad1b6a914fd,https://catalog.data.gov/dataset/existing-buildings-energy-water-efficiency-ebewe-program,catalog.data.gov,2,active,2,gov,primary_legal_authority,UPDATE
a7e327e5-7d53-4747-8b85-b264eab24491,https://www.japaneselawtranslation.go.jp/,japaneselawtranslation.go.jp,1,active,2,gov,primary_legal_authority,UPDATE
6c259072-e992-4e1c-8d65-4249e2448d8c,https://www.now-gmbh.de/en/news/pressreleases/bmdv-supports-ramp-up-of-climate-friendly-road-freight-transport/,now-gmbh.de,3,provisional,6,analysis,vendor_corporate,UPDATE
46ce6080-a4a4-413e-b360-7f28b41e0671,https://whc.unesco.org/en/news/1824,whc.unesco.org,3,provisional,2,intergov,intergovernmental_body,UPDATE
