id,item_type,provenance_status,valid_before,failures_before
007104ed-b4e4-4735-b7ac-c16bc214c1eb,regulation,verified,True,[]
007f42b1-265a-4504-8bd1-ea1557d410ad,framework,quarantined,False,"[{'claim': 'The FNTOP produced 12 technology-based strategies for freight safety and mobility, 6 of which were advanced to Concept of Operations.', 'reason': 'fact_below_authority_floor', 'priority': 'LOW', 'criterion': 3, 'floor_max': 2, 'item_type': 'framework', 'floor_basis': 'item_type_unconditional', 'floor_scope': 'default', 'source_tier_derived': 4}, {'claim': 'The Texas Freight Network Technology and Operations Plan (FNTOP) was published December 2020.', 'reason': 'fact_below_authority_floor', 'priority': 'LOW', 'criterion': 3, 'floor_max': 2, 'item_type': 'framework', 'floor_basis': 'item_type_unconditional', 'floor_scope': 'default', 'source_tier_derived': 4}, {'claim': ""The 2018 Texas Freight Mobility Plan (TFMP) provided Texas with a blueprint for facilitating continued economic growth through a comprehensive, multimodal strategy for addressing freight transportation. One major recommendation from the TFMP is for the TxDOT to develop and implement a statewide, technology-based freight safety and operations program... Based on this recommendation, the Freight Planning Branch within TxDOT's (TxDOT) Transportation Planning and Programming Division developed the Texas Freight Network Technology and Operations Plan (FNTOP), which outlines 12 technology based strategies, six of which were advanced to Concept of Operations, to help improve freight transportation safety and mobility in Texas."", 'reason': 'fact_below_authority_floor', 'priority': 'LOW', 'criterion': 3, 'floor_max': 2, 'item_type': 'framework', 'floor_basis': 'item_type_unconditional', 'floor_scope': 'default', 'source_tier_derived': 4}, {'reason': 'missing_required_slot', 'slot_key': 'primary_deadline', 'criterion': 5, 'item_type': 'framework'}]"
01126119-5005-4617-b7a5-0f1e37f1bedb,initiative,verified,True,[]
02ad37c7-8a11-434b-8626-55e92087fbc9,research_finding,quarantined,False,"[{'reason': 'gate_a_unproven_or_stale', 'criterion': 7}]"
03b5f234-3624-4fef-acec-922bd75bb46e,regulation,quarantined,False,"[{'claim': ""Per LR Class News 03/2026: 'shipping companies must also ensure that their ships connect to shore power systems whenever compatible facilities are available.'"", 'reason': 'fact_below_authority_floor', 'priority': 'CRITICAL', 'criterion': 3, 'floor_max': 2, 'item_type': 'regulation', 'floor_basis': 'priority', 'floor_scope': 'default', 'source_tier_derived': 4}, {'claim': ""Per LR: RFNBOs 'must achieve 70% or greater greenhouse gas reduction, measured under EU methodologies.'"", 'reason': 'fact_below_authority_floor', 'priority': 'CRITICAL', 'criterion': 3, 'floor_max': 2, 'item_type': 'regulation', 'floor_basis': 'priority', 'floor_scope': 'default', 'source_tier_derived': 4}, {'claim': ""LR GHG reduction threshold for biogas: 'It achieves 50% to 65% GHG reduction depending on production date.'"", 'reason': 'fact_below_authority_floor', 'priority': 'CRITICAL', 'criterion': 3, 'floor_max': 2, 'item_type': 'regulation', 'floor_basis': 'priority', 'floor_scope': 'default', 'source_tier_derived': 4}, {'claim': ""Per LR Class News 03/2026: 'The regulation does not require verification of actual ship emissions. Instead, compliance is presumed if the ship uses an approved energy source that meets the zero emission definition and, where relevant, uses best available technology to reduce nitrous oxide (N₂O). The regulation focuses on fuel properties, not measured output.'"", 'reason': 'fact_below_authority_floor', 'priority': 'CRITICAL', 'criterion': 3, 'floor_max': 2, 'item_type': 'regulation', 'floor_basis': 'priority', 'floor_scope': 'default', 'source_tier_derived': 4}, {'claim': ""Per LR Class News 03/2026: 'The following requirements apply regardless of whether ships operate entirely within the fjords or only transit them.'"", 'reason': 'fact_below_authority_floor', 'priority': 'CRITICAL', 'criterion': 3, 'floor_max': 2, 'item_type': 'regulation', 'floor_basis': 'priority', 'floor_scope': 'default', 'source_tier_derived': 4}, {'claim': ""DNV recommended that cruise operators consider 'aligning this with the planning for compliance with FuelEU Maritime. The reduced carbon in the regulated fjords could be used in a pooling strategy for vessels operating in EU waters.'"", 'reason': 'fact_below_authority_floor', 'priority': 'CRITICAL', 'criterion': 3, 'floor_max': 2, 'item_type': 'regulation', 'floor_basis': 'priority', 'floor_scope': 'default', 'source_tier_derived': 4}, {'claim': ""DNV's expert analysis (January 2024) noted that 'a supply chain for the needed amount of zero-carbon fuels will not be in place by 2026 and needs time to gradually develop.'"", 'reason': 'fact_below_authority_floor', 'priority': 'CRITICAL', 'criterion': 3, 'floor_max': 2, 'item_type': 'regulation', 'floor_basis': 'priority', 'floor_scope': 'default', 'source_tier_derived': 4}, {'claim': 'NOx Tier III requirements effective for ships ≥1,000 GT in the World Heritage fjords from 1 January 2025.', 'reason': 'fact_below_authority_floor', 'priority': 'CRITICAL', 'criterion': 3, 'floor_max': 2, 'item_type': 'regulation', 'floor_basis': 'priority', 'floor_scope': 'default', 'source_tier_derived': 7}, {'claim': ""For small vessels (<10,000 GT): 'Battery power is a good alternative for vessels under 10,000 GT and ... access to shore power is crucial to meeting the zero-emissions requirement.'"", 'reason': 'fact_below_authority_floor', 'priority': 'CRITICAL', 'criterion': 3, 'floor_max': 2, 'item_type': 'regulation', 'floor_basis': 'priority', 'floor_scope': 'default', 'source_tier_derived': None}, {'claim': 'In 2022, Havila Voyages ran a demonstration of a passenger ship operating solely on batteries in Geirangerfjord.', 'reason': 'fact_below_authority_floor', 'priority': 'CRITICAL', 'criterion': 3, 'floor_max': 2, 'item_type': 'regulation', 'floor_basis': 'priority', 'floor_scope': 'default', 'source_tier_derived': 7}, {'claim': ""'Use of hydrogen and ammonia technology as an alternative to conventional fuel is not accessible by smaller passenger vessels,' per NMA as cited by Nautilus International."", 'reason': 'fact_below_authority_floor', 'priority': 'CRITICAL', 'criterion': 3, 'floor_max': 2, 'item_type': 'regulation', 'floor_basis': 'priority', 'floor_scope': 'default', 'source_tier_derived': None}, {'reason': 'unlabeled_assertion', 'criterion': 4, 'section_row_id': '7e0ea0fd-bc49-4356-9269-96e261c39c98'}, {'reason': 'missing_required_slot', 'slot_key': 'primary_deadline', 'criterion': 5, 'item_type': 'regulation'}, {'reason': 'gate_a_unproven_or_stale', 'criterion': 7}]"
053123bc-2c11-45ec-a5a1-83828b666b11,regional_data,quarantined,False,"[{'reason': 'no_section_content', 'criterion': 2}, {'reason': 'gate_a_unproven_or_stale', 'criterion': 7}]"
0554d47e-3e90-40cb-aced-fcfb42ff793d,framework,unverified,False,"[{'reason': 'no_section_content', 'criterion': 2}, {'reason': 'missing_full_brief', 'criterion': 6}]"
05b786f8-8753-4e81-923e-ee9d76c56609,tool,unverified,False,"[{'reason': 'source_not_active', 'status': 'suspended', 'criterion': 1, 'source_id': '4fdb662c-3ab1-4987-b754-5530c9e511e1'}, {'reason': 'no_section_content', 'criterion': 2}, {'reason': 'missing_full_brief', 'criterion': 6}]"
05e2d1c1-7e87-443a-9178-a475d4d6c3b9,regulation,quarantined,False,"[{'claim': ""[primary_deadline] 'The second funding call, which also provides funding for operationally-critical hydrogen refuelling infrastructure, ends in August 2022.'"", 'reason': 'fact_below_authority_floor', 'priority': 'LOW', 'criterion': 3, 'floor_max': 2, 'item_type': 'regulation', 'floor_basis': 'item_type_unconditional', 'floor_scope': 'default', 'source_tier_derived': 3}, {'claim': '[primary_deadline] The second KsNI funding call, which also provides funding for operationally-critical hydrogen refuelling infrastructure, ended in August 2022.', 'reason': 'fact_below_authority_floor', 'priority': 'LOW', 'criterion': 3, 'floor_max': 2, 'item_type': 'regulation', 'floor_basis': 'item_type_unconditional', 'floor_scope': 'default', 'source_tier_derived': 3}, {'claim': ""'For trucks weighing over 12 tonnes, their number of electric trucks in Germany will increase twenty-fold as a result of the funding.'"", 'reason': 'fact_below_authority_floor', 'priority': 'LOW', 'criterion': 3, 'floor_max': 2, 'item_type': 'regulation', 'floor_basis': 'item_type_unconditional', 'floor_scope': 'default', 'source_tier_derived': 3}, {'claim': ""'The KsNI funding guideline is coordinated by NOW GmbH. Applications are approved by the Federal Office for Goods Transport.'"", 'reason': 'fact_below_authority_floor', 'priority': 'LOW', 'criterion': 3, 'floor_max': 2, 'item_type': 'regulation', 'floor_basis': 'item_type_unconditional', 'floor_scope': 'default', 'source_tier_derived': 3}, {'claim': ""The KsNI guideline funds 'commercial vehicles with alternative, climate-protecting drives and the associated refuelling and charging infrastructure.' Under the first call, 'around 300 projects worth about 190 million euros were approved.'"", 'reason': 'fact_below_authority_floor', 'priority': 'LOW', 'criterion': 3, 'floor_max': 2, 'item_type': 'regulation', 'floor_basis': 'item_type_unconditional', 'floor_scope': 'default', 'source_tier_derived': 3}, {'claim': ""'With around 158 million euros, the BMDV is funding the procurement of 1,217 climate-friendly commercial vehicles with electric and hydrogen drive systems.' Electric vehicles by category: N1 (up to 3.5 t): 321; N2 (3.5–12 t): 161; N3 (over 12 t): 439. Hydrogen vehicles: N1: 105; N2: 4; N3: 181."", 'reason': 'fact_below_authority_floor', 'priority': 'LOW', 'criterion': 3, 'floor_max': 2, 'item_type': 'regulation', 'floor_basis': 'item_type_unconditional', 'floor_scope': 'default', 'source_tier_derived': 3}, {'claim': 'KsNI applications are approved by the Federal Office for Goods Transport (Bundesamt für Güterverkehr, BAG). The programme is coordinated by NOW GmbH.', 'reason': 'fact_below_authority_floor', 'priority': 'LOW', 'criterion': 3, 'floor_max': 2, 'item_type': 'regulation', 'floor_basis': 'item_type_unconditional', 'floor_scope': 'default', 'source_tier_derived': 3}, {'claim': ""Through the BMDV KsNI programme, 'over 1,200 vehicles with electric and hydrogen drives have been procured and almost 1,500 charging points have been facilitated' under the first call alone."", 'reason': 'fact_below_authority_floor', 'priority': 'LOW', 'criterion': 3, 'floor_max': 2, 'item_type': 'regulation', 'floor_basis': 'item_type_unconditional', 'floor_scope': 'default', 'source_tier_derived': 3}, {'claim': '[primary_deadline] KsNI second funding call closed August 2022.', 'reason': 'fact_below_authority_floor', 'priority': 'LOW', 'criterion': 3, 'floor_max': 2, 'item_type': 'regulation', 'floor_basis': 'item_type_unconditional', 'floor_scope': 'default', 'source_tier_derived': 3}, {'reason': 'unlabeled_assertion', 'criterion': 4, 'section_row_id': '9aeef696-6b40-4655-9a53-42a76e0d528a'}, {'reason': 'gate_a_unproven_or_stale', 'criterion': 7}]"
0658844a-5f65-4444-89fb-bf73a22bafc6,regional_data,verified,True,[]
